SEXO,IDADE,REGIME,FACCAO,CARGO_FACCAO,UNIDADE
30,40,1647,,,746323
30,50,1647,,,820657
30,39,1647,,,657728
30,31,1647,,,746323
30,31,1647,,,975291
30,42,1647,,,994418
30,29,2402,,,559396
30,36,1647,,,994414
30,,1650,,,994418
30,37,2402,,,250958
30,44,1647,,,925279
30,26,1647,,,112971
30,25,1647,,,559396
30,38,1647,,,112971
30,49,2403,,,105693
30,31,1647,,,105693
30,56,2405,,,584662
30,35,2405,,,584662
31,40,1647,,,36233
30,24,1647,,,883316
30,28,2403,,,746323
30,28,1646,,,250958
30,22,1647,,,495478
30,26,1647,,,212316
30,63,1647,,,975291
30,33,2402,,,960097
30,39,1646,,,746323
30,32,1646,,,105693
30,,2402,,,250958
30,29,1650,,,621558
30,20,1650,,,639335
30,25,1647,,,925279
30,24,2401,,,960097
30,32,2402,,,105693
30,25,1647,,,250958
30,38,2405,,,584662
30,41,1646,,,746323
30,32,1646,,,950426
30,31,1647,,,495478
30,27,1647,,,112971
30,19,1647,,,816503
30,28,1647,,,112971
30,36,1647,,,559396
30,22,1647,,,112971
30,35,2402,,,190238
30,,1646,,,746323
30,47,2405,,,584662
30,28,1647,,,250958
30,,2402,,,960097
30,34,1646,,,577141
30,37,1647,,,994414
30,25,1650,,,639335
30,30,1647,,,962437
30,36,1646,,,839990
30,30,1647,,,495478
30,28,1647,,,250958
30,21,1647,,,105693
30,47,1647,,,746323
30,27,1646,,,322353
30,21,2403,,,962437
30,32,1647,,,495478
30,31,1646,,,960097
30,26,2401,,,190238
30,50,1647,,,925279
30,50,1647,,,962437
30,24,1647,,,639335
31,23,2402,,,36233
30,21,1647,,,704585
30,32,2403,,,250958
30,28,2403,,,212316
30,22,1646,,,960097
30,38,1647,,,559396
30,73,1646,,,950252
30,29,1646,,,250958
30,29,1647,,,250958
30,27,1647,,,639335
30,19,1650,,,960097
30,33,1647,,,960097
30,38,1647,,,473393
30,35,1647,,,559396
30,,1650,,,960097
30,28,1647,,,250958
30,34,2407,,,584662
30,25,1647,,,530032
30,31,2409,,,280293
30,25,2402,,,960097
30,20,1647,,,621558
30,32,1647,,,523461
30,21,1646,,,746323
30,29,1647,,,198986
30,24,1646,,,746323
30,34,1646,,,883316
30,21,2402,,,250958
30,34,1646,,,883316
30,42,2409,,,280293
30,38,1646,,,326340
30,23,2401,,,250958
30,37,1647,,,950426
30,45,2403,,,704585
30,25,1647,,,250958
31,46,1647,,,36233
30,38,2402,,,639335
30,32,1647,,,704585
30,40,2401,,,250958
30,29,1647,,,112971
30,53,2401,,,559396
30,54,1647,,,621558
30,50,2402,,,190238
30,31,2401,,,105693
30,,1647,,,960097
30,29,1647,,,960097
30,37,1647,,,816503
30,31,2401,,,250958
31,33,1647,,,36233
30,25,1647,,,250958
30,25,1647,,,559396
30,24,1647,,,495478
30,28,2401,,,250958
30,43,1646,,,326340
30,,1647,,,559396
30,25,1647,,,447403
30,37,1646,,,746323
30,23,1646,,,657728
30,34,2402,,,250958
30,27,1646,,,657728
30,27,1647,,,495478
30,25,1647,,,112971
30,41,1646,,,414074
30,24,1646,,,883316
30,24,1647,,,495478
30,26,1647,,,816503
30,32,2402,,,190238
30,27,1647,,,704971
30,34,2403,,,322353
30,38,1647,,,495478
30,42,2403,,,250958
30,28,2402,,,704971
30,24,1647,,,250958
30,20,1646,,,447403
30,27,2403,,,704971
30,25,1647,,,190238
30,29,1647,,,495478
30,32,1646,,,190238
30,25,1647,,,883316
30,27,1647,,,559396
30,35,1647,,,975291
30,42,2403,,,105693
30,29,1647,,,563930
30,21,1647,,,495478
30,22,1646,,,112971
30,35,2403,,,212316
,,2403,,,960097
30,35,1647,,,960097
,,1647,,,746323
30,29,1647,,,960097
30,36,2402,,,250958
30,36,1647,,,621558
30,31,1647,,,495478
30,43,1646,,,746323
30,32,1647,,,639335
30,25,1647,,,250958
30,39,1646,,,326340
31,45,1647,,,105693
30,21,1647,,,495478
30,28,1647,,,960097
30,36,1647,,,994414
31,32,2405,,,584662
30,24,1646,,,284873
30,29,2405,,,584662
30,41,2402,,,190238
30,38,1647,,,704585
30,24,1647,,,950426
30,40,1647,,,105693
30,29,1647,,,639335
30,37,1647,,,704585
30,26,1646,,,212316
30,33,1647,,,975291
30,40,1647,,,105693
30,24,2401,,,105693
30,31,2408,,,280293
30,31,2410,,,994414
30,28,1647,,,495478
30,23,2402,,,559396
30,31,1647,,,960097
30,31,1647,,,250958
30,22,1647,,,962437
30,25,1647,,,559396
30,70,1646,,,322353
30,26,1647,,,495478
30,24,1647,,,960097
30,27,1650,,,960097
30,37,1647,,,657728
